documents,label
"I'm 18 now and a lot of people on roblox is not safe for children even when I was little but now its worse.
",2
"Some people be talking shit like sex and etc without getting banned this is how bad it is in my view.
",2
"I would like to rant more but this is some.
",6
"Just recently this game added voice chat, and the moderation for it couldn’t be worse.
",1
"Random people can randomly report your voice chat for Roblox’s robots to ban your ability to use voice chat and there is no moderation for you to reach out to have it appealed.
",1
"This game has no educational value, I’ve only really encountered competitive children on here or racist keyboard warriors.
",4
"Really not a game worth your time, roblox couldn’t care less about their moderation or any weird behavior that’s actually happing on here, and would rather employ robots to do their work than  humans capable of doing a good job.
",9
"Despiciable!
",0
"This game is horrible for children, for starters.
",6
"This game never moderates their games!
",7
"I saw a game with innaprotiate content, They also have hundreds of copyrighted items on their catalog, They also take 70% of a game developers cut of revenue when creating roblox games!
",9
"there is also many horror games kids should not be playing!
",3
"They also disabled my son's account, and when I tried to talk to support about it, they never responded, my child has been crying day and night cause of his roblox account and no matter what I do, I can't get him to smile.
",0
"This is a horrible game and doesn't deserve the popularity it has, Many games also have gambling in them with robux, a currency that costs REAL life dollars!
",2
"This is a horrible game and deserves to be canceled!
",8
"Roblox takes advantage of it's users and developers.
",2
"Their entire platform is built on the backs of international child labor, that is not an exaggeration.
",6
"They don't respect their players or those who generate their revenue.
",5
"There have been multiple accounts, of which you can readily watch documentation of on YouTube, of people coaxing children off-platform into communication sites like Discord to groom them, and they refuse to take responsibility for that, despite that these people are actively playing alongside your children in-game and CAN be identified through their Discord user id I know because I've been a part of a group that traced a scammer back to their Roblox username.
",9
"They know VERY well that what they're doing is malicious and have refused to do anything about it for years.
",0
"They are greedy, and have successfully created a vacuum for the wealthy to thrive.
",1
"Because on top of charging you 75% of your total revenue, they also charge you for advertising on their platform.
",6
"Unreal.
",0
"The executives at Roblox need to be put in jail, but taking advantage of children is just kinda part of our entire economic system, so justice will probably never be served, and they'll never see how wrong their actions are through the money their making profiting from their greed.
",9
"I dislike how Roblox can be toxic for kids, and Roblox doesn't ban people even if they scam, or bully.
",2
"Sure they ban some people, but some people get away with it.
",1
"Horrible and traumatizing game.
",2
"Horrific for adults to see their kids learn this stuff at a young age.
",4
"Roblox willingly allows users to engage in extremely abusive monetisation techniques.
",1
"At its best, it is filled with greedy developers who demand premium currency in exchange for almost anything in game.
",6
"At its worst, it is filled with outright scammers - and the developers of the game are among them.
",9
"Our experience is one where the 2-factor authentication on my daughter's account failed and someone was able to log in to her account.
",0
"Roblox then reset the account, including the missing premium currency (around £30 to £40 worth) - but then shortly after that took back the premium currency stating that they were unable to help.
",6
"Clearly as the currency was restored, it's not that they are 'unable' to help - just unwilling.
",6
"No further explanation was given, nor did we receive a response to the question of how someone was able to access the account despite me having 2FA on it.
",0
"It's not the first time we've had issues with this shoddy operation.
",9
"It took far too long to get a resolution to this and we were practically pulling out teeth just to get a positive response from their so called customer services team.
",6
"This ""game"" is nothing more than a scam.
",6
"I would caution parents to encourage their kids stay far away from it.
",3
"I am extremely repulsed to see that the fact in Roblox, my child has been having tantrums because of the game called Mimic, apparently Sama in the mimic is the worse when it gets him, he gets extremely unorthodox about it.
",0
"This is extremely disappointing to hear my child getting extremely mad.
",7
"In Doors, the monsters that are cartoons make my child extremely scared and petrified.
",3
"My child has been having too many tantrums over these, also inappropriate that the entity Sama and Rush has wall hacks and X-Ray that must be nerfed, I will created a full on complaint about the truths of the output this content has received to my child.
",1
"I am disappointed and ashamed of the game named Egg farm simulator and how hacks orientated the space boss is I will be filing a cease and assist due to my fury and anger .
",0
"I also want to go into detail on how time wasting the waiting process to get into the boss I am extremely furious because of these factors do not come up on my home page ever again.
",0
"i mean kids just get this game to have fun but theres only 1 word you are not allowed to say on roblox its b****s i dont know why roblox didnt ban this word and it has s*x and i dont like it and people are rude so i dont recommend this
",2
"i got aids from that game and my final wish is to bust my final nut.
",1
"Not safe.
",0
"The game itself is fine, but the customer service itself and the customer support is a joke.
",6
"You can literally get banned for speaking your own language in the game, because if roblox thinks that some words in your language  sounds or seems the same as an innapropriate word in english, you are censored immedietly and its likely to get banned afterwards.
",1
"Also the customer support takes days to answer for your appeals, and when its about a 1-3 day ban of your account, its annoying to be punished for days while you did not do anything wrong.
",6
"Overall good potential, but ruined by the company.
",1
"this is a good game but it wont let me put my phone number in,
",0
"This game is great and all but the glitches and lag is killing me.
",1
"Like when I'm about to do something in the game I get kicked out to the Roblox loading page.
",6
"It's extremely frustrating.
",3
"ever since this byfron thing came my roblox game always crashes it made me lose a items in a game so roblox fix this
",6
"Roblox is the epitome of greediness.
",5
"They are constantly rising up the cost of the credits ""Robux"" to the point where it became a rip-off.
",1
"Since February, I've stopped buying him gift cards.
",0
"Related to the content now, there is some bullying and foul language taking place so always speak to your child every so often to make sure he's doing OK.
",1
"Overall, I would not recommend introducing the platform to your kids for the reason that the games in there offers no educational content and most of the games are not even competitive and quite a few games are made with the concept of ""Pay to win"", so I really see no value on playing Roblox.
",3
"I see a lot of people saying people can be rude.
",2
"It just depends what game you're playing, you can usually tell by joining if people will be mean by looking at their avatars.
",7
"A game that you should stay away from would be like Da Hood, it's really violent and people are mean.
",4
"Also make sure you're monitoring your kid, a lot of roblox bullies parents aren't even aware they bully kids.
",7
"When she was younger she would always play, but now she is not allowed to play the game.
",0
"I don't think it is a kid-appropriate game.
",2
"Before things started changing the game was perfectly fine but now I am disgusted by how it has changed over time.
",0
"My child was messaging random strangers on Roblox.
",7
"But Overall we reported that person that person got kicked and reported off of roblox.
",0
"For 1 to 6 year old
",4
"Just no don't let them play they are too young
",7
"2.
",0
"This game is VERY BAD for children I sae my sun getting, lets just say, ""women"".
",6
"The worst customer service imaginable, people who have no idea what they are doing and shouldn’t be in that field.
",6
"Fraud and money scams.
",6
"Your child will be exposed to inappropriate content that is not ever moderated appropriately.
",1
"Better to find somewhere else to enjoy your time on the internet.
",6
"Not somewhere that’s going to steal money, never respond and have terrible service, and doesn’t appreciate its consumers.
",8
"The worst service in the face of the planet.
",6
"Everyone associated ought to be ashamed and embarrassed.
",0
"Bad staff I reported 5 Hackers and the past 2 months And they never got warned Or banned and its clear they are using cheats Like, Flying No damage And telaporting without in-game cmds
",6
"Hello I don't think it is a good game for young kids so I think 12+ rating is good
",2
"And their support staff Sam is pretty useless, all he said was pretty much “too bad u can’t do anything about it”
",6
"Roblox is fun for kids but there are some games that are not appropriate are the people in it aren’t like games that bypass the chat filter.
",1
"Sadly you do have to spend robux (an in game currency you have to spend money to get) alright now I’ll talk about the bad things but do not worry most of the topics in the bad section I talk about is very uncommon to witness.
",6
"Also people can sometimes be rude,  while most of the people on roblox are nice, some people are rude.
",1
"I have encountered someone who gave me a death threat cause I didn’t give them something.
",5
"So for the romance I have a lot to say, most games have no romance people in it can be innopropiate games like meepcity (you shouldn’t join that one) are made for kids the people in it can be innopropiate it’s very common for meepcity to have romance and dating in it even though it isn’t supposed to.
",8
"And some games on roblox allow romance so all I am saying is try to avoid meepcity or any romantic games if you dislike romance.
",8
"For the violence  there isn’t much but games like arsenal and combat warriors are based around violence so if you don’t like violence then avoid playing games like that.
",3
"My son whose only 6 watches koneto kitten and kreekcraft throughout his day, After viewing both youtubers videos i have noticed kreekcraft talking about hot moms which to me is absolutely disgusting and koneto for cursing in his documentary videos.
",9
"My son will be excused from them and as for kreek, his 7 month subscription for youtube will be cancelled.
",1
"When he was in lobby he was approached by 3 teenagers who called him squeaker kid and continously shot him until he cried in flood of tears.
",0
"It got the point he woke me up at 3am.. 3AM.. just to tell me he was being followed and killed by the same teenagers.
",0
"I as a mother of 8 decided to tell them off and report them.
",7
"My son will never be playing Da Hood again until the developer adds in a child mode.
",0
"I recommend banning people that bully evidently in the chat.
",4
"There’s no need for rage or hate in servers.
",4
"They should make an automatic ban for people who wish to be rude to others for no apparent reason.
",2
"Niece got bullied and banned for the day because she stood up for herself.
",0
"i freaking hate the chat filter starting just to censor words for false reasons/no reasons, like numbers, ratings, safe words, more
",1
"and I have been watching what she has done and I am surprised most parents say its bad but my 6 year old daughter who didn't know how to read actually read!
",0
"my child saw a s*x game but safely ignored, BAN THIS NOW!!!
",1
"MY KID POOPED HIS PANTS WHILE PLAYING DOORS BECAUSE HE GOT SCARED LOL AND THEN HAD SEX WITH AN ANIME GIRL ITS GOOD THAT HE IS REPRODUCING AND THEN SHOT THE BABY IN THE HEAD THAT WAS VERY FUNNY THEN HE SAID FUCK YOU BABY THEN YEAH HE GOT DRUNK AND GOT IN A CAR CRASH (in game) AND I THINK THAT WAS ALL VERY AGE APPROPRIATE.
",0
"(this is all a joke and im not actually a parent)
",6
"but people are saying roblox is inappropriate.
",2
"Like, get your cringe 40-year-old self out of the way trying to date someone that's disgusting bruh.
",4
"it's just that people don't understand that roblox is not the one making these games.
",2
"The game that is actually good isn't popular.
",2
"My son lost 5000 robux to this game because someone told him that if he gave him robux then he would get 5x.
",0
"this game is terrible
",3
"Roblox is now banned in my house before my daughter used to be a kind young lady and an A+ student when she started playing Roblox her grades dropped and she became a C- student and had horrible behavior after the ban she was back to her normal self.
",0
"I do not recommend Roblox to any parents!
",4
"It exposes children to a wide range of content that is not appropriate for younger viewers.
",9
"MY DOG PLAYED THE GAME AND WAS EXPOSED TO SEX AND SHIT HELP1!1!1 
",0
"200yr Timmy sucked a man’s dick help
",0
"Lol
",0
"I HATE THIS GAME!!!!
",0
"IT SUCKED MY DEAD DOG INTO THE GAME AND STARTED HACKING ME.
",0
"my avatar started becoming bald, Roblox is causing cancer and it’s proven 
",0
"It killed me
",0
"Terrible support.
",0
"They will literally steal your money, make you jump through a bunch of hoops, and you still won't get reimbursed.
",7
"'Customer Support' is pure garbage
",7
"This game is nothing but the promotion of child gambling with pedos as moderators.. the Roblox corporation is satanic
",2
"this game is sissy bungus.my kid played this and now he does not want to go poop he is to scared please to not put your child through what my child had to go through
",0
"this game is sissy bungus.my kid played this and now he does not want to go poop he is to scared because the infamous ""Escape the McDonalds toilet obby!""
",0
"please to not put your child through  the trauma what my child had to go through.
",7
"He played Your Bizarre Adventure ONCE and now he is a loan shark stock trader, what happened to my baby!11!
",0
"Other parents are complaining too much, overall not bad.
",2
"Parents, just be aware that Roblox sells defective e-gift cards with codes that won't work and they just claim they're not responsible for anything!!!
",1
"I have spent $25 on an e-card that I bought DIRECTLY from Roblox website, it was my daughter's birthday, but as soon as she entered the code, she got an error message.
",0
"The code was correct but there was no way she could redeem it!
",6
"They took 2 weeks to get back to me just to say they couldn't do anything.
",6
"Great way to make business, selling codes that won't work and claiming they're just not responsible!
",8
"No customer service.
",6
"Waste of time and money
",6
"I payed for 50$ Giftcard AND IT WAS INVAILD Roblox please fix your game
",6
"Too much hack that roblix cant dectect ruining games and they worried avout swearing?
",6
"Calling someone a F to A to G and banned for swearing, but no these cheating hacket that roblox cant dectect.
",6
"If i can give negative star, undescrable star would make the rewview go negative.
",7
"Cant enjoy a peacful none hacking game
",6
"Too much hack that roblix cant dectect ruining games and they worried avout swearing?
",6
"Calling someone a F to A to G and banned for swearing, but no these cheating hacker that roblox cant dectect.
",4
"If i can give negative star, undescrable star would make the review go negative.
",7
"Cant enjoy a peacful none hacking game roblox cant fix
",6
"I hate that OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHRHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
",2
"mY sonNN play rubulox asnd he Played a gambling chingb andsa got harny and sterted tuking meth iand looked of rublox puge and it shuwed porno games this is unacepted i banned hem from evr playing egain!!!
",2
"There are many headlines such as “Pedo uses Roblox chat to lure kids” but there’s a way to pervert this
",1
"Settings > Prenatal Controls > Chat > Off
",0
"As easy as that.
",1
"Also there are games such as “Condo” games that have Sex and other inappropriate sexual content but what you need to do is monitor your kids!
",1
"Worried about them swearing: Monitor you kids or turn off the chat feature.
",7
"See look the reason people call this a bad game is people don’t take the right precautions.
",4
"They just think the Internet will raise there kids and if there is something bad we have to get rid of the platform.
",3
"But I caught her with some *guy* that was being racist.
",0
"He called her a “black b*tch” and he said the N word but he put an ER instead of an A. Roblox used to be so kid friendly but now it’s terrible!
",0
"Just like the avatar creator game, kids are constantly getting harassed by older white men!
",5
"This has to stop!
",6
"Im so disappointed…
",0
"Some games are about collecting pets, and others about about slicing peoples throat off!
",4
"The horror games are to scary for under 11 year olds to go and the fact they can just click on it is a terrible thought.
",4
"The parental controls are useless, they're is an enormous amount of content that is not suitable for kids under 17 that is accessible even to those on the under 13 profile.
",1
"Because it's user generated they simply cannot keep up with the reviewing and rating and it's difficult and sometimes fruitless to try to report content.
",8
"Is a shame as there are very good games and quite innocent content, but you need to sit with your child the entire time they are playing given the large and increasing amount of inappropriate and unrated content.
",1
"But when she went online to redeem it, it said invalid.
",0
"The retail store referred me to Roblox customer service, who responded:
",6
"
",0
"""Unfortunately, the code you provided is invalid or already redeemed and we are not able to assist with it further.""
",8
"Roblox basically stole money from a child.
",0
"What is upsetting, is some parents.
",2
"You can also put restrictions so please don't complain if this stuff happens.
",7
"You can add it so you cannot read any chat or send any chat messages and you can only play the most boring games.
",1
"All these parents complaining about their kids going on games.
",7
"I’m sorry.
",0
"to all parents in case of a list of these events happen (account hacked banned bullying blocking) so 1 someone bullying block them or disable the chat 2 account hacked before this happenes  just put in your phone number on your childs account before hacked and give roblox costumer support a call 3 banned you can go to roblox support or call roblox to unban the account if its a long time 4 another bullying event report the account the kid whos bullying your child
",6
"If you have children, you will not like this app.
",7
"This is a place for those bad dudes to hang out that you see in the movie Taken…
",1
"Don’t do it.
",7
"Went to my local store to buy a robux gift card and spent 50$ on it I went back home and tried to use it but it kept saying a ""An unexpected error occurred.
",0
"wasted 50$ on a lego game I wouldnt get the game.
",0
"My son added his gift cards today for Christmas and someone hacked his account.
",0
"I tried to contact support for help and then it says you will have to leave a message.
",6
"I’m a single parent mom who works hard for every thing and someone comes and hack his account.
",0
"THIS GAME IS VIOLENT, I SAW A GAME WITH GUNS AND KILLING PEOPLE.
",0
"So my daughter has been playing on this platform, and now she wants me to subscribe for her, which I have no problem with, however, now that I've been on the platform and struggling with the gift cards, and subscriptions (and I'm an IT software developer) - I can clearly say this site is not secure!
",0
"Support is useless!
",2
"I can't get what I paid for, and support keeps sending an automated response instead of doing support.
",0
"So I've lost the money and NOTHING!
",6
"Don't trust this site with your banking details!
",9
"Not to mention the bullying I've seen going through her messages.
",0
"I think certain games are ok ...many are violent .and then the sex thing..and the chats are full of bullying and well it's tried to be block much gets through...because most parents aren't staring at their kids 100% of the time I would recommend for 10 plus over all
",2
"Time lose in this game.
",6
"It really suck and a lot of toxic communities , really bad game.
",8
"I was curious so I tried it I posed as a 12-year-old girl it was horrible!
",0
"People were bullying, replacing letters with numbers to swear!
",1
"I banned my child from using Roblox.
",0
"This game is terrible!
",2
"But he said he was getting bullied 2 days after he said they won't stop.
",0
"I looked at his screen and was shocked!
",0
"He was playing a violent game called ""piggy.""
",0
"With a demonic pig chasing people around and killing people!
",0
"I hope my review has made you not give your kids Roblox.
",7
"there is violence, roblox added a age rating so when you put your date of birth like at 2013, the kid is 9 so your kid can see games nine and under.
",7
"honestly this game has at terrible moderation system and gives absolutely 0 help if you actually need something
",6
"your kid will be banned for saying the most ridiculous things their responses are fast if you consider 5 hours for one message that will tell you first that there's something wrong with your first report then another 5 to tell you that they will do nothing about it a ""fast response time""
",5
"and when you get back in the game your kid will still be exposed to a ridiculous amount of 18+ content from OTH
",5
"plus their hacker problem is just ridiculous and if you ask roblox for help they will not do anything
",5
"
",0
"but if you somehow manage to avoid the 18+ games , the bullying , terrible moderation , violence , hacking , the scams , terrible security , and 0 customer service  then its a pretty good game with some educational games and lets your kid be creative so ill have to give it at least 2 stars
",6
"The platform is good, but the content is dangerous, is full of games based on horror, sadism and violence that are aimed to child kids.
",8
"Don't put your kids in risk.
",7
"Avoid roblox
",6
"ok fucking hate you roblox complete piece of shit.
",2
"you fr banning me becuase i said im blocking you?
",6
"you gotta be fucking kidding me and since when did you care about people using"" OFFENSIVE LANGUAGE"" lol fuck you.
",1
"people with vc be doing it all the time, thats just fucking bullshit
",7
"that my child got banned for not saying sexist things like dime is american or suck my di this app is very dumb
",9
"just today my account got kicked from roblox for voting to kick a hacker and i had to redo my entire account and remember my password and everything.
",0
"Personally for me its fine for 4 year olds because my cousin has been playing since 2016 and i watched him play it just once it turned 2020 (the pandemic) slenders and online daters flooded the game and it became a hellhole but unless you turn off the chat feature your kid can’t interact with anyone and once they turn 13 i suggest lower the safety limits on roblox a little more
",7
"I could not returned the cards or get new one at the store so I contacted their hep contact customer support and I will tell you guys stay away from them worst customer services or support..
",6
"I will never buy anymore gift cards from Roblox… those gift cards were only 10$ each cards and this company is treating their customers so bad….
",0
"Why Did They Ban The Word Peacock?
",0
"Banned In I As ""California""
",0
"This game has changed my child faster than I had ever thought possible, after seeing multiple mixed reviews here I decided to give him a try he is 6 after logging on I caught him messing around with disgusting suicidal people calling themselves slenders recreating sexual acts and drinking, If you choose to let your children play this game prepare for it to change them!
",0
"This app sucks I accidentally deleted it and my password says it’s wrong but I know for sure it was right.
",0
"I used my email to reset the password and it still wouldn’t let me through so I don’t have this game anymore and I spent over $200 on Robux for my child.
",0
"0/0 recommended.
",0
"Amazing, but it has the most extreme censorship I have ever witnessed in my life.
",1
"My Far cousin age 9 had cancer and wanted to play this game, but he wasnt able to
",0
"Had 1 week left to live and wasted 3 days of his last week in his life to try to get this game starting because it keeps saying committing verfication whenever it you pass the verification test creating an account.
",0
"This game is toxic 
",2
"bad for kids
",4
"not a good game for learning
",2
"Killed my far cousin dreams 
",0
"I hate you roblox i hope your brand dies
",6
"Nnooooooo stop he slendersssssssssss i hate thwm they all bully me anmd make fun of my mothdr and my brokeneess.
",0
"Roblox Is Stupid!
",0
"It Should Be Banned In I As ""Minnesota""
",0
"Sure, there's some violence, but maybe only unrealistic blood, or at map, half of someone's head in realistic games.
",3
"I DO have a couple complaints, though.
",6
"The chat filter is too sensitive.
",1
"Certain words like 'town' are filtered out, for no legitimate reason.
",9
"Also, words that would be useful in roleplays such as 'stupid' or 'damn' are censored, which my son finds really annoying when he's playing with his friends.
",0
"Could not buy robux for free :(((((
",6
"I am sick of them stealing from my child's bank account all the time!
",0
"I hope they feel fantastic for robbing a 12 year old 😡🤬.
",0
"I'm so angry!
",0
